HTNO,subject_code,subject_name,internal,external,total,grade,credits
22Q91A6609,18101,APPLIED PHYSICS LABORATORY,37,53,90,O,1.5
22Q91A6609,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,45,0,45,O,1.0
22Q91A6609,18114,ENGINEERING WORKSHOP,36,40,76,A,2.5
22Q91A6609,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,47,87,A+,1.0
22Q91A6609,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,57,96,O,1.0
22Q91A6609,18120,ENVIRONMENTAL SCIENCE,89,0,89,A+,0.0
22Q91A6609,181AA,APPLIED PHYSICS,27,21,48,C,4.0
22Q91A6609,181AK,ENGLISH FOR SKILL ENHANCEMENT,25,27,52,B,2.0
22Q91A6609,181AN,MATRICES AND CALCULUS,25,13,38,F,0.0
22Q91A6609,181AP,PROGRAMMING FOR PROBLEM SOLVING,32,3,35,F,0.0
22Q91A6610,181AP,PROGRAMMING FOR PROBLEM SOLVING,39,30,69,B+,3.0
22Q91A6610,181AN,MATRICES AND CALCULUS,36,24,60,B+,4.0
22Q91A6610,181AK,ENGLISH FOR SKILL ENHANCEMENT,37,44,81,A+,2.0
22Q91A6610,181AA,APPLIED PHYSICS,37,32,69,B+,4.0
22Q91A6610,18120,ENVIRONMENTAL SCIENCE,93,0,93,O,0.0
22Q91A6610,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,58,97,O,1.0
22Q91A6610,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,52,92,O,1.0
22Q91A6610,18114,ENGINEERING WORKSHOP,40,43,83,A+,2.5
22Q91A6610,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6610,18101,APPLIED PHYSICS LABORATORY,40,56,96,O,1.5
22Q91A6611,18101,APPLIED PHYSICS LABORATORY,40,55,95,O,1.5
22Q91A6611,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,46,0,46,O,1.0
22Q91A6611,18114,ENGINEERING WORKSHOP,39,34,73,A,2.5
22Q91A6611,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,57,97,O,1.0
22Q91A6611,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,59,98,O,1.0
22Q91A6611,18120,ENVIRONMENTAL SCIENCE,84,0,84,A+,0.0
22Q91A6611,181AA,APPLIED PHYSICS,31,9,40,F,0.0
22Q91A6611,181AK,ENGLISH FOR SKILL ENHANCEMENT,37,34,71,A,2.0
22Q91A6611,181AN,MATRICES AND CALCULUS,35,21,56,B,4.0
22Q91A6611,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,27,60,B+,3.0
22Q91A6612,18101,APPLIED PHYSICS LABORATORY,38,57,95,O,1.5
22Q91A6612,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6612,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,58,98,O,1.0
22Q91A6612,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,60,100,O,1.0
22Q91A6612,18120,ENVIRONMENTAL SCIENCE,88,0,88,A+,0.0
22Q91A6612,181AA,APPLIED PHYSICS,36,21,57,B,4.0
22Q91A6612,181AK,ENGLISH FOR SKILL ENHANCEMENT,35,33,68,B+,2.0
22Q91A6612,181AN,MATRICES AND CALCULUS,38,29,67,B+,4.0
22Q91A6612,181AP,PROGRAMMING FOR PROBLEM SOLVING,40,34,74,A,3.0
22Q91A6613,18101,APPLIED PHYSICS LABORATORY,37,49,86,A+,1.5
22Q91A6613,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,42,0,42,A+,1.0
22Q91A6613,18114,ENGINEERING WORKSHOP,32,34,66,B+,2.5
22Q91A6613,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,51,91,O,1.0
22Q91A6613,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,34,54,88,A+,1.0
22Q91A6613,18120,ENVIRONMENTAL SCIENCE,92,0,92,O,0.0
22Q91A6613,181AA,APPLIED PHYSICS,23,4,27,F,0.0
22Q91A6613,181AK,ENGLISH FOR SKILL ENHANCEMENT,30,30,60,B+,2.0
22Q91A6613,181AN,MATRICES AND CALCULUS,25,13,38,F,0.0
22Q91A6613,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,13,46,F,0.0
22Q91A6614,18101,APPLIED PHYSICS LABORATORY,36,48,84,A+,1.5
22Q91A6614,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,46,0,46,O,1.0
22Q91A6614,18114,ENGINEERING WORKSHOP,37,34,71,A,2.5
22Q91A6614,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,56,96,O,1.0
22Q91A6614,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,56,94,O,1.0
22Q91A6614,18120,ENVIRONMENTAL SCIENCE,94,0,94,O,0.0
22Q91A6614,181AA,APPLIED PHYSICS,24,21,45,C,4.0
22Q91A6614,181AK,ENGLISH FOR SKILL ENHANCEMENT,23,26,49,C,2.0
22Q91A6614,181AN,MATRICES AND CALCULUS,29,9,38,F,0.0
22Q91A6614,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,2,38,F,0.0
22Q91A6615,181AP,PROGRAMMING FOR PROBLEM SOLVING,38,21,59,B,3.0
22Q91A6615,181AN,MATRICES AND CALCULUS,34,21,55,B,4.0
22Q91A6615,181AK,ENGLISH FOR SKILL ENHANCEMENT,33,31,64,B+,2.0
22Q91A6615,181AA,APPLIED PHYSICS,37,23,60,B+,4.0
22Q91A6615,18120,ENVIRONMENTAL SCIENCE,84,0,84,A+,0.0
22Q91A6615,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,37,58,95,O,1.0
22Q91A6615,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,55,95,O,1.0
22Q91A6615,18114,ENGINEERING WORKSHOP,39,40,79,A,2.5
22Q91A6615,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,1.0
22Q91A6615,18101,APPLIED PHYSICS LABORATORY,38,53,91,O,1.5
22Q91A6616,18101,APPLIED PHYSICS LABORATORY,40,60,100,O,1.5
22Q91A6616,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6616,18114,ENGINEERING WORKSHOP,37,41,78,A,2.5
22Q91A6616,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,53,93,O,1.0
22Q91A6616,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,60,100,O,1.0
22Q91A6616,18120,ENVIRONMENTAL SCIENCE,88,0,88,A+,0.0
22Q91A6616,181AA,APPLIED PHYSICS,40,30,70,A,4.0
22Q91A6616,181AK,ENGLISH FOR SKILL ENHANCEMENT,36,39,75,A,2.0
22Q91A6616,181AN,MATRICES AND CALCULUS,38,32,70,A,4.0
22Q91A6616,181AP,PROGRAMMING FOR PROBLEM SOLVING,40,31,71,A,3.0
22Q91A6617,18101,APPLIED PHYSICS LABORATORY,37,56,93,O,1.5
22Q91A6617,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6617,18114,ENGINEERING WORKSHOP,34,35,69,B+,2.5
22Q91A6617,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,55,95,O,1.0
22Q91A6617,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,60,99,O,1.0
22Q91A6617,18120,ENVIRONMENTAL SCIENCE,77,0,77,A,0.0
22Q91A6617,181AA,APPLIED PHYSICS,39,21,60,B+,4.0
22Q91A6617,181AK,ENGLISH FOR SKILL ENHANCEMENT,37,41,78,A,2.0
22Q91A6617,181AN,MATRICES AND CALCULUS,35,23,58,B,4.0
22Q91A6617,181AP,PROGRAMMING FOR PROBLEM SOLVING,37,27,64,B+,3.0
22Q91A6618,18101,APPLIED PHYSICS LABORATORY,38,55,93,O,1.5
22Q91A6618,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6618,18114,ENGINEERING WORKSHOP,38,44,82,A+,2.5
22Q91A6618,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,51,91,O,1.0
22Q91A6618,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,57,95,O,1.0
22Q91A6618,18120,ENVIRONMENTAL SCIENCE,90,0,90,O,0.0
22Q91A6618,181AA,APPLIED PHYSICS,39,23,62,B+,4.0
22Q91A6618,181AK,ENGLISH FOR SKILL ENHANCEMENT,36,38,74,A,2.0
22Q91A6618,181AN,MATRICES AND CALCULUS,37,21,58,B,4.0
22Q91A6618,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,13,47,F,0.0
22Q91A6619,18101,APPLIED PHYSICS LABORATORY,37,49,86,A+,1.5
22Q91A6619,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,40,0,40,A+,1.0
22Q91A6619,18114,ENGINEERING WORKSHOP,36,36,72,A,2.5
22Q91A6619,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,50,90,O,1.0
22Q91A6619,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,34,55,89,A+,1.0
22Q91A6619,18120,ENVIRONMENTAL SCIENCE,86,0,86,A+,0.0
22Q91A6619,181AA,APPLIED PHYSICS,26,21,47,C,4.0
22Q91A6619,181AK,ENGLISH FOR SKILL ENHANCEMENT,28,26,54,B,2.0
22Q91A6619,181AN,MATRICES AND CALCULUS,25,12,37,F,0.0
22Q91A6619,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,10,43,F,0.0
22Q91A6620,181AP,PROGRAMMING FOR PROBLEM SOLVING,37,36,73,A,3.0
22Q91A6620,181AN,MATRICES AND CALCULUS,37,44,81,A+,4.0
22Q91A6620,181AK,ENGLISH FOR SKILL ENHANCEMENT,29,28,57,B,2.0
22Q91A6620,181AA,APPLIED PHYSICS,38,27,65,B+,4.0
22Q91A6620,18120,ENVIRONMENTAL SCIENCE,87,0,87,A+,0.0
22Q91A6620,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,53,92,O,1.0
22Q91A6620,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,39,51,90,O,1.0
22Q91A6620,18114,ENGINEERING WORKSHOP,36,47,83,A+,2.5
22Q91A6620,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,49,0,49,O,1.0
22Q91A6620,18101,APPLIED PHYSICS LABORATORY,38,50,88,A+,1.5
22Q91A6621,18101,APPLIED PHYSICS LABORATORY,40,53,93,O,1.5
22Q91A6621,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6621,18114,ENGINEERING WORKSHOP,40,59,99,O,2.5
22Q91A6621,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,58,98,O,1.0
22Q91A6621,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,60,100,O,1.0
22Q91A6621,18120,ENVIRONMENTAL SCIENCE,96,0,96,O,0.0
22Q91A6621,181AA,APPLIED PHYSICS,40,45,85,A+,4.0
22Q91A6621,181AK,ENGLISH FOR SKILL ENHANCEMENT,37,45,82,A+,2.0
22Q91A6621,181AN,MATRICES AND CALCULUS,39,33,72,A,4.0
22Q91A6621,181AP,PROGRAMMING FOR PROBLEM SOLVING,40,45,85,A+,3.0
22Q91A6622,18101,APPLIED PHYSICS LABORATORY,36,47,83,A+,1.5
22Q91A6622,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,46,0,46,O,1.0
22Q91A6622,18114,ENGINEERING WORKSHOP,31,30,61,B+,2.5
22Q91A6622,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,52,92,O,1.0
22Q91A6622,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,32,57,89,A+,1.0
22Q91A6622,18120,ENVIRONMENTAL SCIENCE,79,0,79,A,0.0
22Q91A6622,181AA,APPLIED PHYSICS,28,21,49,C,4.0
22Q91A6622,181AK,ENGLISH FOR SKILL ENHANCEMENT,31,26,57,B,2.0
22Q91A6622,181AN,MATRICES AND CALCULUS,30,8,38,F,0.0
22Q91A6622,181AP,PROGRAMMING FOR PROBLEM SOLVING,30,23,53,B,3.0
22Q91A6623,181AP,PROGRAMMING FOR PROBLEM SOLVING,40,40,80,A+,3.0
22Q91A6623,181AN,MATRICES AND CALCULUS,35,21,56,B,4.0
22Q91A6623,181AK,ENGLISH FOR SKILL ENHANCEMENT,34,34,68,B+,2.0
22Q91A6623,181AA,APPLIED PHYSICS,37,23,60,B+,4.0
22Q91A6623,18120,ENVIRONMENTAL SCIENCE,92,0,92,O,0.0
22Q91A6623,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,37,58,95,O,1.0
22Q91A6623,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,54,94,O,1.0
22Q91A6623,18114,ENGINEERING WORKSHOP,36,49,85,A+,2.5
22Q91A6623,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,49,0,49,O,1.0
22Q91A6623,18101,APPLIED PHYSICS LABORATORY,40,56,96,O,1.5
22Q91A6624,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,34,70,A,3.0
22Q91A6624,181AN,MATRICES AND CALCULUS,31,21,52,B,4.0
22Q91A6624,181AK,ENGLISH FOR SKILL ENHANCEMENT,34,29,63,B+,2.0
22Q91A6624,181AA,APPLIED PHYSICS,34,23,57,B,4.0
22Q91A6624,18120,ENVIRONMENTAL SCIENCE,81,0,81,A+,0.0
22Q91A6624,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,37,58,95,O,1.0
22Q91A6624,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,51,91,O,1.0
22Q91A6624,18114,ENGINEERING WORKSHOP,38,44,82,A+,2.5
22Q91A6624,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6624,18101,APPLIED PHYSICS LABORATORY,38,48,86,A+,1.5
22Q91A6625,18101,APPLIED PHYSICS LABORATORY,38,47,85,A+,1.5
22Q91A6625,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6625,18114,ENGINEERING WORKSHOP,39,41,80,A+,2.5
22Q91A6625,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,51,91,O,1.0
22Q91A6625,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,57,96,O,1.0
22Q91A6625,18120,ENVIRONMENTAL SCIENCE,84,0,84,A+,0.0
22Q91A6625,181AA,APPLIED PHYSICS,36,28,64,B+,4.0
22Q91A6625,181AK,ENGLISH FOR SKILL ENHANCEMENT,34,38,72,A,2.0
22Q91A6625,181AN,MATRICES AND CALCULUS,33,11,44,F,0.0
22Q91A6625,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,42,75,A,3.0
22Q91A6626,18101,APPLIED PHYSICS LABORATORY,40,54,94,O,1.5
22Q91A6626,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,49,0,49,O,1.0
22Q91A6626,18114,ENGINEERING WORKSHOP,33,34,67,B+,2.5
22Q91A6626,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,54,94,O,1.0
22Q91A6626,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,58,96,O,1.0
22Q91A6626,18120,ENVIRONMENTAL SCIENCE,87,0,87,A+,0.0
22Q91A6626,181AA,APPLIED PHYSICS,28,12,40,F,0.0
22Q91A6626,181AK,ENGLISH FOR SKILL ENHANCEMENT,30,26,56,B,2.0
22Q91A6626,181AN,MATRICES AND CALCULUS,25,13,38,F,0.0
22Q91A6626,181AP,PROGRAMMING FOR PROBLEM SOLVING,31,21,52,B,3.0
22Q91A6627,181AP,PROGRAMMING FOR PROBLEM SOLVING,35,35,70,A,3.0
22Q91A6627,181AN,MATRICES AND CALCULUS,33,21,54,B,4.0
22Q91A6627,181AK,ENGLISH FOR SKILL ENHANCEMENT,35,41,76,A,2.0
22Q91A6627,181AA,APPLIED PHYSICS,36,21,57,B,4.0
22Q91A6627,18120,ENVIRONMENTAL SCIENCE,96,0,96,O,0.0
22Q91A6627,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,56,96,O,1.0
22Q91A6627,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,59,99,O,1.0
22Q91A6627,18114,ENGINEERING WORKSHOP,37,35,72,A,2.5
22Q91A6627,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,49,0,49,O,1.0
22Q91A6627,18101,APPLIED PHYSICS LABORATORY,40,55,95,O,1.5
22Q91A6628,18101,APPLIED PHYSICS LABORATORY,40,56,96,O,1.5
22Q91A6628,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,1.0
22Q91A6628,18114,ENGINEERING WORKSHOP,36,52,88,A+,2.5
22Q91A6628,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,59,99,O,1.0
22Q91A6628,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,58,97,O,1.0
22Q91A6628,18120,ENVIRONMENTAL SCIENCE,87,0,87,A+,0.0
22Q91A6628,181AA,APPLIED PHYSICS,38,24,62,B+,4.0
22Q91A6628,181AK,ENGLISH FOR SKILL ENHANCEMENT,33,21,54,B,2.0
22Q91A6628,181AN,MATRICES AND CALCULUS,33,21,54,B,4.0
22Q91A6628,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,29,65,B+,3.0
22Q91A6629,18101,APPLIED PHYSICS LABORATORY,40,55,95,O,1.5
22Q91A6629,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6629,18114,ENGINEERING WORKSHOP,37,51,88,A+,2.5
22Q91A6629,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,56,96,O,1.0
22Q91A6629,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,57,95,O,1.0
22Q91A6629,18120,ENVIRONMENTAL SCIENCE,93,0,93,O,0.0
22Q91A6629,181AA,APPLIED PHYSICS,35,27,62,B+,4.0
22Q91A6629,181AK,ENGLISH FOR SKILL ENHANCEMENT,32,30,62,B+,2.0
22Q91A6629,181AN,MATRICES AND CALCULUS,27,12,39,F,0.0
22Q91A6629,181AP,PROGRAMMING FOR PROBLEM SOLVING,38,42,80,A+,3.0
22Q91A6630,181AP,PROGRAMMING FOR PROBLEM SOLVING,35,29,64,B+,3.0
22Q91A6630,181AN,MATRICES AND CALCULUS,33,28,61,B+,4.0
22Q91A6630,181AK,ENGLISH FOR SKILL ENHANCEMENT,34,28,62,B+,2.0
22Q91A6630,181AA,APPLIED PHYSICS,32,21,53,B,4.0
22Q91A6630,18120,ENVIRONMENTAL SCIENCE,87,0,87,A+,0.0
22Q91A6630,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,36,54,90,O,1.0
22Q91A6630,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,53,93,O,1.0
22Q91A6630,18114,ENGINEERING WORKSHOP,31,32,63,B+,2.5
22Q91A6630,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,1.0
22Q91A6630,18101,APPLIED PHYSICS LABORATORY,40,57,97,O,1.5
22Q91A6631,18101,APPLIED PHYSICS LABORATORY,38,49,87,A+,1.5
22Q91A6631,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6631,18114,ENGINEERING WORKSHOP,39,53,92,O,2.5
22Q91A6631,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,51,91,O,1.0
22Q91A6631,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,58,97,O,1.0
22Q91A6631,18120,ENVIRONMENTAL SCIENCE,92,0,92,O,0.0
22Q91A6631,181AA,APPLIED PHYSICS,33,23,56,B,4.0
22Q91A6631,181AK,ENGLISH FOR SKILL ENHANCEMENT,32,29,61,B+,2.0
22Q91A6631,181AN,MATRICES AND CALCULUS,29,13,42,F,0.0
